# electric_fields,frequencys,dielectrics,buffers,U_true_est,UbyUo,raw_uvel_max,raw_slope,beta,delta,tau,d_eps,d_pKa,d_pKb,d_Ns,d_thick,b_conc,b_conduct,b_pH,b_viscosity,b_eps,b_debye,voltages,electrode_spacings,pivcorr
20000.0,1000.0,SiO2,NaCl,0.004346413211562285,0.00240928417244797,1.05604302883148,-0.0853272082514174,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,200.0,0.01,1.80402679819462
25000.0,100.0,SiO2,NaCl,0.0048862233049853,0.00270846392284752,2.40592050552368,-0.149879622330575,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.80405700211366
25000.0,500.0,SiO2,NaCl,0.00400498779835046,0.00222000102259338,2.22133088111877,-0.122849306587761,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.80404772682126
25000.0,1000.0,SiO2,NaCl,0.0036428383400129113,0.00201927538796376,1.60948634147644,-0.111741651781445,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.8040324572501
25000.0,1500.0,SiO2,NaCl,0.0036713883197051233,0.00203512338214364,1.74600064754486,-0.112618640159374,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.80401264705532
25000.0,2000.0,SiO2,NaCl,0.0034043317802826974,0.0018871106410693,1.61377263069153,-0.104427985100173,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.80399161882405
25000.0,2500.0,SiO2,NaCl,0.003203413300761082,0.00177577807215731,1.54553270339966,-0.0982671190680051,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.80394912573135
25000.0,3000.0,SiO2,NaCl,0.0035560248941043635,0.00197128222651189,1.68536102771759,-0.109085830209602,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.8039146532542
25000.0,6000.0,SiO2,NaCl,0.003763474731159384,0.00208655742255538,1.43004846572876,-0.115464871370658,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.80367656814846
25000.0,9000.0,SiO2,NaCl,0.0033818848403482414,0.00187518988356752,1.60590040683746,-0.103768320181917,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.80348927326456
25000.0,12000.0,SiO2,NaCl,0.003044306739251606,0.00168844983386333,1.43609058856964,-0.0934345926814122,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.80301876798196
25000.0,15000.0,SiO2,NaCl,0.0031569815129055575,0.00175156754460758,1.54597520828247,-0.0969273689997219,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.80237497698831
25000.0,18000.0,SiO2,NaCl,0.002944618593414165,0.00163454582983291,1.72791624069214,-0.0904516798583786,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.80149038324314
25000.0,21000.0,SiO2,NaCl,0.002996938071702323,0.00166442812945258,1.30101668834686,-0.0921052916135822,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.80058124389426
